"Branche"	"2019"	"2020"	"2021"
"Industrie (exkl. Chemie, Pharma)"	0.275	0.270	0.265
"Chemie, Pharma"	0.346	0.343	0.343
"Baugewerbe"	0.236	0.203	0.199
"Handel, Reparatur"	0.191	0.177	0.170
"Verkehr, Lagerei"	0.091	0.093	0.097
"Gastgewerbe"	0.079	0.070	0.062
"Information, Kommunikation"	0.274	0.274	0.288
"Finanz-, Versicherungs-DL"	0.084	0.074	0.074
"Beratung, Planung, Forschung, Immobilien"	0.260	0.277	0.289
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.321	0.334	0.334
"Personalvermittlung, -überlassung"	0.261	0.282	0.271
"Öffentliche Verwaltung, Sozialversicherungen"	0.095	0.099	0.099
"Erziehung, Unterricht"	0.041	0.042	0.044
"Gesundheits-, Sozialwesen"	0.110	0.107	0.109
"Kultur, Unterhaltung, pers. DL"	0.066	0.082	0.091
"Total"	0.180	0.180	0.181

