Jahr	Sehr gerne	Eher gerne	Eher ungerne	Ganz ungerne	Weiss nicht	Keine Angabe
2019: Total	1412	564	64	22	9	37
2019: Schweiz	1139	405	43	15	8	25
2019: Ausland	258	151	20	7	1	10
.						
2015: Total	871	366	27	9	3	0
2015: Schweiz	784	310	23	8	2	0
2015: Ausland	87	56	4	1	1	0
..						
2011: Total	884	334	54	13	0	0
2011: Schweiz	774	275	46	11	0	0
2011: Ausland	110	59	8	2	0	0
...						
2007: Total	810	404	74	12	4	0
2007: Schweiz	721	348	59	11	3	0
2007: Ausland	89	56	15	1	1	0
....						
2005: Total	807	387	101	13	4	0
2005: Schweiz	688	328	90	12	3	0
2005: Ausland	119	59	11	1	1	0
.....						
2003: Total	832	352	56	20	5	0
2003: Schweiz	733	287	39	18	4	0
2003: Ausland	99	65	17	2	1	0

