"KW"	"2012 Kumuliert"	"2012 Wöchentlich"	"2013 Kumuliert"	"2013 Wöchentlich"	"2014 Kumuliert"	"2014 Wöchentlich"	"2015 Kumuliert"	"2015 Wöchentlich"	"2016 Kumuliert"	"2016 Wöchentlich"	"2017 Kumuliert"	"2017 Wöchentlich"	"2018 Kumuliert"	"2018 Wöchentlich"	"2019 Kumuliert"	"2019 Wöchentlich"	"2020 Kumuliert"	"2020 Wöchentlich"	"2021 Kumuliert"	"2021 Wöchentlich"	"2022 Kumuliert"	"2022 Wöchentlich"	"2023 Kumuliert"	"2023 Wöchentlich"
1	-3	-3	-4	-4	-2	-2	-11	-11	-16	-16	4	4	7	7	-12	-12	0	0	5	5	-5	-5	10	10
2	-4	-1	4	8	1	2	-9	2	-26	-9	23	18	9	3	-16	-4	3	2	3	-1	-8	-3	16	6
3	-6	-2	-5	-9	11	10	-7	2	-29	-3	38	16	16	7	-24	-8	-4	-6	13	10	-9	-2	6	-11
4	-8	-2	-10	-5	19	8	-2	5	-36	-7	34	-4	19	3	-16	8	-5	-1	16	3	-13	-3	-3	-9
5	-23	-15	-0	10	20	2	3	5	-48	-12	28	-6	25	7	-17	-1	-1	4	16	-1	-26	-13	-13	-10
6	-22	1	-4	-4	24	4	12	9	-59	-11	53	26	30	5	-21	-5	-10	-9	10	-6	-16	10	-24	-11
7	-23	-1	-5	-1	16	-8	19	8	-53	5	55	2	26	-4	-22	-0	-18	-8	5	-5	-18	-2	-43	-18
8	-22	1	-14	-9	14	-2	34	14	-63	-9	58	3	23	-3	-19	3	-24	-6	-1	-5	-15	2	-46	-3
9	-34	-13	-8	7	21	6	41	7	-57	6	59	1	42	18	-20	-1	-27	-3	-6	-5	-16	-1	-59	-14
10	-34	1	-11	-3	24	4	45	4	-62	-6	61	2	45	3	-17	3	-27	-0	-11	-5	-22	-6	-57	2
11	-34	0	-11	-1	27	3	55	10	-72	-9	64	3	58	13	-17	-0	-20	7	-22	-11	-23	-1	-62	-5
12	-39	-5	-8	3	29	1	59	5	-79	-8	60	-4	65	7	-21	-4	-7	14	-22	0	-29	-6	-70	-8
13	-41	-2	3	11	18	-10	67	8	-78	2	57	-3	57	-8	-24	-2	19	26	-39	-17	-21	8	-79	-9
14	-48	-7	23	21	12	-6	71	3	-77	1	60	3	58	1	-24	0	46	26	-46	-7	-4	18	-82	-3
15	-47	1	25	2	15	3	62	-9	-77	-0	47	-13	56	-2	-29	-5	44	-2	-55	-9	-10	-7	-75	7
16	-37	10	29	4	10	-5	62	-0	-80	-3	46	-1	55	-1	-30	-1	54	10	-54	1	-13	-2	-79	-4
17	-35	2	33	4	9	-1	66	4	-87	-7	45	-2	46	-9	-29	1	46	-8	-55	-1	-10	3	-82	-4
18	-39	-4	37	4	12	3	70	4	-97	-10	43	-1	53	7	-19	10	39	-7	-52	3	-14	-4	-92	-9
19	-35	4	31	-6	12	-0	67	-4	-98	-0	40	-4	47	-5	-17	3	33	-6	-62	-10	-10	3	-104	-13
