JahrBezirk	Evangelisch-reformiert	Römisch-katholisch	Christkatholisch	Israelitisch	Andere, ohne oder unbek. Zugeh.
2019: Klybeck	506	724	25	5	5977
2019: Kleinhüningen	201	294	12		2291
.					
2020: Klybeck	462	687	26	8	5927
2020: Kleinhüningen	181	280	9		2339
..					
2021: Klybeck	422	635	31	3	5861
2021: Kleinhüningen	183	272	11		2283
...					
2022: Klybeck	414	635	40	2	5918
2022: Kleinhüningen	177	261	11		2344
....					
2023: Klybeck	414	593	39	2	5946
2023: Kleinhüningen	161	269	16	2	2380
.....					
