""	"Mittlere jährliche ALQ Lagerei u. sonst. DL für den Verkehr"	"Mittlere jährliche ALQ Post-, Kurier- und Expressdienste"	"Monatliche Anzahl AL Lagerei u. sonst. DL für den Verkehr (rechte Skala)"	"Monatliche Anzahl AL Post-, Kurier- und Expressdienste (rechte Skala)"
"2013-01"	0.071375	0.042102	70	35
"2013-02"	0.071375	0.042102	71	32
"2013-03"	0.071375	0.042102	67	37
"2013-04"	0.071375	0.042102	67	37
"2013-05"	0.071375	0.042102	65	34
"2013-06"	0.071375	0.042102	66	33
"2013-07"	0.071375	0.042102	65	31
"2013-08"	0.071375	0.042102	66	25
"2013-09"	0.071375	0.042102	69	28
"2013-10"	0.071375	0.042102	71	28
"2013-11"	0.071375	0.042102	69	24
"2013-12"	0.071375	0.042102	66	22
"2014-01"	0.072429	0.036811	74	22
"2014-02"	0.072429	0.036811	78	28
"2014-03"	0.072429	0.036811	70	30
"2014-04"	0.072429	0.036811	66	30
"2014-05"	0.072429	0.036811	64	31
"2014-06"	0.072429	0.036811	62	32
"2014-07"	0.072429	0.036811	54	24
"2014-08"	0.072429	0.036811	59	23
"2014-09"	0.072429	0.036811	63	27
"2014-10"	0.072429	0.036811	68	27
"2014-11"	0.072429	0.036811	86	22
"2014-12"	0.072429	0.036811	80	24
"2015-01"	0.074451	0.024387	88	24
"2015-02"	0.074451	0.024387	85	19
"2015-03"	0.074451	0.024387	80	17
"2015-04"	0.074451	0.024387	74	18
"2015-05"	0.074451	0.024387	76	18
"2015-06"	0.074451	0.024387	76	20
"2015-07"	0.074451	0.024387	69	17
"2015-08"	0.074451	0.024387	65	15
"2015-09"	0.074451	0.024387	59	12
"2015-10"	0.074451	0.024387	58	13
"2015-11"	0.074451	0.024387	58	18
"2015-12"	0.074451	0.024387	59	21
"2016-01"	0.060211	0.037156	61	23
"2016-02"	0.060211	0.037156	53	27
"2016-03"	0.060211	0.037156	54	26
"2016-04"	0.060211	0.037156	56	32
"2016-05"	0.060211	0.037156	56	30
"2016-06"	0.060211	0.037156	62	29
"2016-07"	0.060211	0.037156	53	25
"2016-08"	0.060211	0.037156	54	27
"2016-09"	0.060211	0.037156	53	23
"2016-10"	0.060211	0.037156	56	23
"2016-11"	0.060211	0.037156	65	29
"2016-12"	0.060211	0.037156	62	29
"2017-01"	0.071023	0.027263	63	25
"2017-02"	0.071023	0.027263	63	24
"2017-03"	0.071023	0.027263	65	24
"2017-04"	0.071023	0.027263	64	24
"2017-05"	0.071023	0.027263	75	21
"2017-06"	0.071023	0.027263	79	22
"2017-07"	0.071023	0.027263	71	19
"2017-08"	0.071023	0.027263	71	19
"2017-09"	0.071023	0.027263	67	16
"2017-10"	0.071023	0.027263	63	17
"2017-11"	0.071023	0.027263	64	14
"2017-12"	0.071023	0.027263	63	12
"2018-01"	0.064079	0.027033	66	15
"2018-02"	0.064079	0.027033	69	17
"2018-03"	0.064079	0.027033	62	19
"2018-04"	0.064079	0.027033	56	19
"2018-05"	0.064079	0.027033	55	25
"2018-06"	0.064079	0.027033	52	23
"2018-07"	0.064079	0.027033	53	21
"2018-08"	0.064079	0.027033	62	18
"2018-09"	0.064079	0.027033	55	23
"2018-10"	0.064079	0.027033	53	17
"2018-11"	0.064079	0.027033	69	18
"2018-12"	0.064079	0.027033	77	20
"2019-01"	0.054322	0.029334	64	24
"2019-02"	0.054322	0.029334	53	21
"2019-03"	0.054322	0.029334	49	27
"2019-04"	0.054322	0.029334	53	21
"2019-05"	0.054322	0.029334	50	19
"2019-06"	0.054322	0.029334	51	16
"2019-07"	0.054322	0.029334	44	19
"2019-08"	0.054322	0.029334	49	22
"2019-09"	0.054322	0.029334	49	21
"2019-10"	0.054322	0.029334	49	19
"2019-11"	0.054322	0.029334	52	21
"2019-12"	0.054322	0.029334	55	25
"2020-01"	0.066101	0.044863	53	24
"2020-02"	0.066101	0.044863	52	22
"2020-03"	0.066101	0.044863	55	25
"2020-04"	0.066101	0.044863	60	30
"2020-05"	0.066101	0.044863	59	34
"2020-06"	0.066101	0.044863	61	32
"2020-07"	0.066101	0.044863	62	38
"2020-08"	0.066101	0.044863	65	38
"2020-09"	0.066101	0.044863	66	39
"2020-10"	0.066101	0.044863	68	40
"2020-11"	0.066101	0.044863	77	37
"2020-12"	0.066101	0.044863	74	31
"2021-01"	0.078758	0.044633	76	32
"2021-02"	0.078758	0.044633	76	30
"2021-03"	0.078758	0.044633	92	33
"2021-04"	0.078758	0.044633	86	36
"2021-05"	0.078758	0.044633	84	32
"2021-06"	0.078758	0.044633	80	34
"2021-07"	0.078758	0.044633	74	29
"2021-08"	0.078758	0.044633	73	36
"2021-09"	0.078758	0.044633	63	35
"2021-10"	0.078758	0.044633	64	32
"2021-11"	0.078758	0.044633	67	30
"2021-12"	0.078758	0.044633	61	29
"2022-01"	0.070584	0.044403	61	34
"2022-02"	0.070584	0.044403	75	34
"2022-03"	0.070584	0.044403	73	31
"2022-04"	0.070584	0.044403	62	33
"2022-05"	0.070584	0.044403	68	27
"2022-06"	0.070584	0.044403	71	29
"2022-07"	0.070584	0.044403	63	30
"2022-08"	0.070584	0.044403	64	34
"2022-09"	0.070584	0.044403	61	29
"2022-10"	0.070584	0.044403	67	35
"2022-11"	0.070584	0.044403	70	37
"2022-12"	0.070584	0.044403	68	33

