"Datum"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
"2015-01"	385	205	324	86
"2015-02"	359	192	328	83
"2015-03"	358	185	322	86
"2015-04"	358	180	326	91
"2015-05"	362	185	310	93
"2015-06"	362	188	305	95
"2015-07"	356	167	286	89
"2015-08"	358	162	283	93
"2015-09"	365	152	294	93
"2015-10"	363	149	290	96
"2015-11"	358	160	286	92
"2015-12"	351	164	281	90
"2016-01"	362	170	286	88
"2016-02"	387	167	300	95
"2016-03"	387	165	294	93
"2016-04"	382	172	298	97
"2016-05"	378	169	288	94
"2016-06"	366	175	258	99
"2016-07"	362	159	263	94
"2016-08"	372	172	252	91
"2016-09"	371	163	259	86
"2016-10"	356	174	272	89
"2016-11"	366	188	291	99
"2016-12"	367	190	277	92
"2017-01"	389	187	291	97
"2017-02"	389	188	301	92
"2017-03"	406	198	291	93
"2017-04"	404	206	282	88
"2017-05"	393	211	289	94
"2017-06"	372	208	289	96
"2017-07"	374	188	286	97
"2017-08"	413	188	292	95
"2017-09"	411	179	276	81
"2017-10"	386	175	268	76
"2017-11"	366	164	280	77
"2017-12"	362	167	289	77
"2018-01"	378	178	302	77
"2018-02"	375	175	296	77
"2018-03"	385	160	298	77
"2018-04"	370	154	283	74
"2018-05"	355	163	272	83
"2018-06"	360	151	248	86
"2018-07"	350	154	245	85
"2018-08"	351	156	247	101
"2018-09"	368	159	250	101
"2018-10"	364	162	258	101
"2018-11"	357	177	268	97
"2018-12"	351	186	273	96
"2019-01"	360	167	274	105
"2019-02"	346	149	258	105
"2019-03"	341	142	257	100
"2019-04"	311	152	248	100
"2019-05"	287	146	237	105
"2019-06"	288	138	239	100
"2019-07"	294	137	249	103
"2019-08"	305	144	217	104
"2019-09"	293	141	222	105
"2019-10"	284	139	235	103
"2019-11"	278	142	239	103
"2019-12"	270	154	244	100
"2020-01"	281	154	254	101
"2020-02"	269	140	248	101
"2020-03"	311	160	341	114
"2020-04"	356	179	370	110
"2020-05"	386	184	400	117
"2020-06"	405	192	409	124
"2020-07"	419	199	393	129
"2020-08"	413	197	388	126
"2020-09"	415	189	378	114
"2020-10"	402	202	400	112
"2020-11"	418	205	423	105
"2020-12"	424	209	458	102
"2021-01"	453	220	494	112
"2021-02"	458	220	520	118
"2021-03"	470	241	533	121
"2021-04"	458	244	497	119
"2021-05"	455	225	458	119
"2021-06"	443	216	421	113
"2021-07"	422	198	373	109
"2021-08"	436	199	345	105
"2021-09"	415	176	298	102
"2021-10"	403	170	270	98
"2021-11"	403	174	265	102
"2021-12"	402	167	250	101
"2022-01"	392	180	281	99
"2022-02"	401	198	287	90
"2022-03"	385	190	279	78
"2022-04"	368	181	279	85
"2022-05"	361	173	276	83
"2022-06"	339	169	247	93
"2022-07"	339	159	235	90
"2022-08"	342	164	240	87
"2022-09"	334	154	237	77
"2022-10"	310	167	239	74
"2022-11"	321	172	250	80
"2022-12"	297	156	232	82
"2023-01"	308	168	260	89
"2023-02"	319	175	261	92
"2023-03"	306	167	268	93
"2023-04"	312	171	274	89
"2023-05"	302	163	277	77
"2023-06"	295	171	256	78
"2023-07"	312	167	267	81
"2023-08"	333	166	255	88
"2023-09"	320	162	241	94
"2023-10"	336	159	273	104
"2023-11"	334	166	277	116
"2023-12"	352	172	295	131
"2024-01"	394	181	341	136
"2024-02"	391	176	327	132
"2024-03"	378	170	327	139
"2024-04"	382	170	320	136
"2024-05"	371	159	297	136
"2024-06"	376	179	291	144
"2024-07"	405	172	310	152
"2024-08"	430	170	309	161
"2024-09"	425	166	272	169
"2024-10"	422	174	274	165
"2024-11"	405	188	280	178
"2024-12"	422	187	292	187

