Jahr	 Übriges	 Finanzertrag	 Transferertrag	 Entgelte	 Gewinn- und Kapitalsteuern (JP)	 Einkommens- und Vermögenssteuern (NP)	 Anteil NP (rechte Skala)	 Anteil JP (rechte Skala)
2011	788500000	265200000	0	1153300000	733400000	1689400000	 36.5 	 15.8 
2012	384904266	301400000	500000000	387700000	638246802	1577548932	 41.6 	 16.8 
2013	377611900	384900000	530500000	419000000	677819399	1474568701	 38.2 	 17.5 
2014	408900000	395200000	561100000	502200000	696700000	1553200000	 37.7 	 16.9 
2015	372200000	452100000	599500000	401100000	734700000	1755300000	 40.7 	 17.0 
2016	418500000	482600000	624800000	366000000	837100000	1735300000	 38.9 	 18.8 
2017	418900000	376700000	556700000	373000000	816900000	1678200000	 39.8 	 19.4 
2018	435700000	370100000	591100000	359400000	748100000	1754600000	 41.2 	 17.6 
2019	553200000	474200000	626600000	360700000	1079700000	1760100000	 36.3 	 22.2 
2020	525600000	1161900000	740200000	352600000	637400000	1870400000	 35.4 	 12.1 
2021	578900000	412800000	879200000	333200000	588100000	1866300000	 40.1 	 12.6
