""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2015-01"	13	375	38
"2015-02"	8	372	32
"2015-03"	16	365	34
"2015-04"	12	363	37
"2016-01"	13	393	39
"2016-02"	6	393	30
"2016-03"	5	381	26
"2016-04"	8	384	27
"2017-01"	6	392	25
"2017-02"	6	392	19
"2017-03"	6	388	19
"2017-04"	12	375	15
"2018-01"	5	367	21
"2018-02"	1	355	23
"2018-03"	7	347	23
"2018-04"	13	340	17
"2019-01"	7	346	30
"2019-02"	6	348	19
"2019-03"	10	345	13
"2019-04"	9	348	15
"2020-01"	9	341	8
"2020-02"	3	366	9
"2020-03"	4	367	15
"2020-04"	11	361	11
"2021-01"	9	353	11
"2021-02"	6	344	20
"2021-03"	5	344	14
"2021-04"	7	333	8
"2022-01"	6	324	14
"2022-02"	4	316	11
"2022-03"	3	310	15
"2022-04"	10	299	15
"2023-01"	6	283	17
"2023-02"	1	272	15
"2023-03"	6	260	10
"2023-04"	5	247	10
"2024-01"	2	240	15
"2024-02"	2	235	14
"2024-03"	3	230	10
"2024-04"	6	226	11

