Aggloteile2	1. Sektor	2. Sektor	3. Sektor
Basel: Agglomeration	5068	116978	357765
Basel: Kernstadt	46	33072	154670
Basel: Übrige Agglomeration CH	3945	50327	136188
Basel: Agglomeration D	543	26033	47019
Basel: Agglomeration F	534	7546	19888
......			
Bern: Agglomeration	7582	41512	282498
Bern: Kernstadt	310	14493	178544
Bern: Übrige Agglomeration CH	7272	27019	103954
.........			
Genf: Agglomeration	5217	73308	431422
Genf: Kernstadt	39	10302	177442
Genf: Übrige Agglomeration CH	3293	46073	178220
Genf: Agglomeration F	1885	16933	75760
.............			
Lausanne: Agglomeration	4627	39439	242877
Lausanne: Kernstadt	125	6618	120746
Lausanne: Übrige Agglomeration CH	4502	32821	122131
................			
Zürich: Agglomeration	9487	127674	887312
Zürich: Kernstadt	179	26590	488226
Zürich: Übrige Agglomeration CH	9308	101084	399086
