"Datum"	"EU15/EFTA"	"EU seit 2004"	"Drittstaaten"
"2015-01"	1298	196	444
"2015-02"	1183	209	364
"2015-03"	1408	281	403
"2015-04"	1180	213	289
"2016-01"	1138	198	514
"2016-02"	1142	253	361
"2016-03"	1322	276	394
"2016-04"	1002	229	257
"2017-01"	1216	192	695
"2017-02"	1063	226	478
"2017-03"	1191	267	356
"2017-04"	990	236	278
"2018-01"	1176	208	721
"2018-02"	1027	241	496
"2018-03"	1289	451	389
"2018-04"	1036	311	275
"2019-01"	1193	381	825
"2019-02"	1002	226	391
"2019-03"	1245	290	368
"2019-04"	1145	328	323
"2020-01"	1199	251	970
"2020-02"	582	150	119
"2020-03"	1066	218	173
"2020-04"	925	246	304
"2021-01"	859	185	225
"2021-02"	691	142	187
"2021-03"	945	198	404
"2021-04"	1120	225	272
"2022-01"	1082	186	570
"2022-02"	1007	239	260
"2022-03"	1099	289	274
"2022-04"	978	420	312
"2023-01"	1712	378	674
"2023-02"	1105	370	445
"2023-03"	1176	367	339
"2023-04"	1118	321	242
"2024-01"	1258	279	521
"2024-02"	964	274	584
"2024-03"	1046	241	326
"2024-04"	1206	249	261

