""	"15-24 Jahre"	"25-29 Jahre"	"30-39 Jahre"	"40-49 Jahre"	"50-59 Jahre"	"60 Jahre u.m."	"Total"
"2012"	0.045042	0.039872	0.042719	0.034581	0.028661	0.027456	0.036525
"2013"	0.046156	0.039761	0.045094	0.033573	0.030258	0.027080	0.037258
"2014"	0.044461	0.036305	0.038068	0.030941	0.029941	0.023072	0.033927
"2015"	0.045338	0.042168	0.040771	0.034004	0.032448	0.021098	0.036527
"2016"	0.044922	0.044967	0.043794	0.035952	0.034066	0.024193	0.038668
"2017"	0.044949	0.040184	0.040843	0.035419	0.029665	0.023516	0.036038
"2018"	0.038518	0.033864	0.037322	0.033563	0.026597	0.021491	0.032516
"2019"	0.032398	0.030225	0.033051	0.030793	0.026620	0.021537	0.029783
"2020"	0.049769	0.043884	0.042502	0.038793	0.033554	0.028239	0.039236
"2021"	0.040401	0.039108	0.040388	0.039825	0.035985	0.033851	0.038613
"2022"	0.030711	0.027940	0.032410	0.031249	0.028430	0.030644	0.030487

