Jahr	 Industrie (exkl. Chemie, Pharma)	 Chemie, Pharma	 Baugewerbe	 Handel, Reparatur 	 Verkehr, Lagerei, Kommunikation	 Gastgewerbe	 Finanz-, Versicherungs-DL	 Berat., Plan., Forsch., Immob., IT	 Öffentliche Verwaltung, Sozialvers.	 Erziehung, Unterricht	 Gesundheits-, Sozialwesen	 Kultur, Unterhaltung, pers. DL	 Übrige	Bereiche							
2013	286	663	172	477	190	245	104	2 751	84	167	564	206	62					
2014	250	568	167	469	169	295	94	2 831	66	175	544	222	73					
2015	209	490	171	420	196	263	81	2 796	69	155	469	180	73					
2016	207	444	111	373	149	210	51	2 650	77	111	486	170	42					
2017	213	385	74	360	153	208	71	2 820	64	116	494	143	161					
2018	210	382	98	302	114	174	64	2 729	56	87	414	144	73
2019	228	347	88	344	137	173	59	2675	67	86	380	172	72				
2020	182	409	92	237	155	111	62	2453	78	99	401	263	91
2021	151	355	80	280	121	93	52	2696	63	195	440	313	46
2022	171	333	82	304	105	233	49	3264	54	77	507	406	40


