Jahr	Landwirtschaft etc.	Bau, Herstellung von Waren	Versorgung und Bildung	Fahrzeuge, Transport, IT, Gastronomie	Finanzen und Versicherungen	Wirtsch. Dienstl. u. Unterhaltung	Öffentliche Verwaltung	Private Haushalte
2010	5	12678	1951	5263	3094	5120	1896	47
2011	4	12529	1972	5311	3648	5325	1979	45
2012	5	12462	2181	5434	3532	5515	2014	47
2013	5	12922	1978	5399	3154	5618	2059	46
2014	4	13370	1980	5446	3000	5871	2117	48
2015	4	13831	2021	5435	3020	5992	2158	50
2016	4	16166	2081	5275	3042	5943	2161	52
2017	4	18350	2073	5198	3083	5867	2169	52
2018	5	18951	2109	5240	3558	6150	2173	54

