""	"Männer aus Frankreich"	"Frauen aus Frankreich"	"Männer aus Deutschland"	"Frauen aus Deutschland"	"Männer aus übrigen Ländern"	"Frauen aus übrigen Ländern"
"2009-1"	9786	6159	8082	5273	53	13
"2009-2"	9872	6248	8248	5406	59	17
"2009-3"	9834	6229	8329	5448	72	21
"2009-4"	9910	6286	8336	5523	71	19
"2010-1"	10089	6412	8549	5695	92	29
"2010-2"	10340	6534	8729	5810	106	36
"2010-3"	10364	6517	8782	5826	88	30
"2010-4"	10208	6427	8471	5911	50	24
"2011-1"	10065	6466	8422	5922	54	25
"2011-2"	10200	6479	8582	6006	60	26
"2011-3"	10389	6530	8784	6070	67	31
"2011-4"	10274	6589	8810	6146	79	31
"2012-1"	10195	6679	8824	6198	71	29
"2012-2"	10461	6749	8989	6260	86	32
"2012-3"	10609	6738	9110	6353	105	36
"2012-4"	10533	6722	9068	6334	112	30
"2013-1"	10495	6755	9075	6389	114	35
"2013-2"	10737	6807	9206	6486	133	36
"2013-3"	10811	6817	9349	6620	148	31
"2013-4"	10666	6801	9319	6623	161	32
"2014-1"	10623	6822	9358	6664	171	39
"2014-2"	10920	6848	9510	6747	179	48
"2014-3"	11124	6835	9633	6863	185	42
"2014-4"	10995	6842	9588	6884	185	42
"2015-1"	10890	6880	9637	6964	199	44
"2015-2"	11095	6882	9728	7069	251	46
"2015-3"	11166	6938	9757	7112	272	34
"2015-4"	10936	6894	9705	7184	191	39
"2016-1"	10917	6973	9761	7389	206	39
"2016-2"	11099	7011	9901	7441	250	42
"2016-3"	11222	7003	9944	7439	284	42
"2016-4"	11087	7013	9896	7443	256	46
"2017-1"	11253	7130	9827	7319	249	78
"2017-2"	11238	7122	9805	7314	252	84
"2017-3"	11275	7149	9805	7308	262	83
"2017-4"	11290	7154	9753	7334	262	83
"2018-1"	10971	6976	9565	7209	256	85
"2018-2"	10877	6939	9469	7129	263	88
"2018-3"	10824	6814	9379	7051	260	94
"2018-4"	10736	6782	9277	6957	268	102

