"Jahr"	"Freiraumfläche Messe"	"Anteil Freiraumfläche Messe (rechte Skala)"	"Freiraumfläche Erlenmatt"	"Anteil Freiraumfläche Erlenmatt (rechte Skala)"
2002	2068	0.56	0	0
2003	2271	0.61	0	0
2004	2278	0.61	0	0
2005	2306	0.62	0	0
2006	2306	0.62	0	0
2007	2308	0.62	0	0
2008	2306	0.62	0	0
2009	2306	0.62	0	0
2010	2306	0.62	6438	2.45
2011	2306	0.62	20796	7.92
2012	2306	0.62	20796	7.92
2013	2306	0.62	20796	7.92
2014	2306	0.62	20796	7.92
2015	2306	0.62	20796	7.92
2016	2306	0.62	30434	11.59
2017	2306	0.62	29789	11.34
2018	2315	0.62	29789	11.34
2019	2315	0.62	29789	11.34
2020	2315	0.62	29778	11.34
2021	2315	0.62	29778	11.34
2022	2315	0.62	29778	11.34
2023	2315	0.62	29778	11.34
2024	2315	0.62	29778	11.34

