"Kanton"	"Jahr"	"1 Zi"	"2 Zi"	"3 Zi"	"4 Zi"	"5 Zi"	"6 u.m. Zi"	"Leerstandsquote (rechte Skala)"
"Basel-Stadt"	2014	25	51	93	48	18	10	0.0023
"Basel-Stadt"	2015	52	84	107	79	19	20	0.0034
"Basel-Stadt"	2016	61	107	163	77	30	14	0.0042
"Basel-Stadt"	2017	68	164	202	84	16	12	0.0050
"Basel-Stadt"	2018	117	251	267	99	26	22	0.0071
"Basel-Stadt"	2019	186	327	403	155	41	12	0.0101
"Basel-Stadt"	2020	188	313	392	129	28	23	0.0096
"Basel-Stadt"	2021	272	377	447	94	35	10	0.0110
"Basel-Stadt"	2022	268	417	489	106	26	22	0.0117
"Basel-Stadt"	2023	194	369	455	156	33	22	0.0106

