"Branche"	"2016"	"2017"	"2018"
"Industrie (exkl. Chemie, Pharma)"	0.287	0.280	0.244
"Chemie, Pharma"	0.361	0.347	0.317
"Baugewerbe"	0.248	0.220	0.204
"Handel, Reparatur"	0.225	0.210	0.188
"Verkehr, Lagerei"	0.105	0.099	0.094
"Gastgewerbe"	0.105	0.097	0.086
"Information, Kommunikation"	0.270	0.289	0.293
"Finanz-, Versicherungs-DL"	0.094	0.079	0.074
"Beratung, Planung, Forschung, Immobilien"	0.240	0.268	0.271
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.250	0.278	0.290
"Personalvermittlung, -überlassung"	0.271	0.309	0.296
"Öffentliche Verwaltung, Sozialversicherungen"	0.086	0.087	0.088
"Erziehung, Unterricht"	0.059	0.051	0.046
"Gesundheits-, Sozialwesen"	0.114	0.116	0.114
"Kultur, Unterhaltung, pers. DL"	0.074	0.074	0.071
"Total"	0.187	0.188	0.179

