Jahr	Ökologischer Fussabdruck Schweiz	BIP Kanton Basel-Stadt (rechte Skala)	BIP BS	Bevölkerung
1995	5.851796028	94511.2857727078	18501434791.5795	195759
1996	5.72095303	93494.3960176371	18223273210.9857	194913
1997	5.786287235	93570.8620981016	18064135640.6248	193053
1998	5.848771422	97694.0963882796	18611213832.4492	190505
1999	5.627476151	100875.503597658	19010795657.0074	188458
2000	5.901301849	109033.021801276	20461900102.38	187667
2001	5.513957233	117261.35369774	21865607362.6639	186469
2002	5.329035448	121841.452347636	22750114140.8983	186719
2003	5.385000042	126728.380092349	23654232329.3773	186653
2004	5.367922787	133564.744800801	24943616785.7839	186753
2005	5.753818301	139892.862649426	25964255200.5962	185601
2006	5.718170714	149653.593834355	27659276519.6532	184822
2007	5.971283725	158883.892518599	29429586759.5426	185227
2008	5.935551248	161203.589112426	30092196386.7947	186672
2009	5.452822642	158555.295159374	29792222849.8561	187898
2010	5.764097266	163145.576097882	30173774299.3032	184950
2011	5.505401273	165868.433611824	30893825102.3702	186255
2012	5.201460501	166502.118843679	31206659624.2765	187425
2013	5.283186311	163676.469956677	30989684439.2474	189335
2014		163097.85187086	31083188609.5485	190580
2015		163722.201470449	31404701519.4572	191817
2016		165096.596949813	31827540903.8648	192781.326156225
