"KW"	"2013 Kumuliert"	"2013 Wöchentlich"	"2014 Kumuliert"	"2014 Wöchentlich"	"2015 Kumuliert"	"2015 Wöchentlich"	"2016 Kumuliert"	"2016 Wöchentlich"	"2017 Kumuliert"	"2017 Wöchentlich"	"2018 Kumuliert"	"2018 Wöchentlich"	"2019 Kumuliert"	"2019 Wöchentlich"	"2020 Kumuliert"	"2020 Wöchentlich"	"2021 Kumuliert"	"2021 Wöchentlich"	"2022 Kumuliert"	"2022 Wöchentlich"	"2023 Kumuliert"	"2023 Wöchentlich"	"2024 Kumuliert"	"2024 Wöchentlich"
1	3	3	5	5	4	4	-0	-0	0	0	1	1	-4	-4	-1	-1	3	3	2	2	-0	-0	-1	-1
2	6	3	6	1	6	2	-1	-1	0	0	1	-1	-3	2	-0	0	9	6	3	1	0	1	-1	-0
3	8	2	11	5	7	1	-1	-0	-1	-1	-1	-2	-1	2	1	1	9	0	0	-3	-1	-1	-3	-2
4	7	-1	16	5	8	1	-5	-3	0	1	2	3	-1	-0	-3	-4	6	-3	-1	-1	-2	-0	-2	1
5	7	-0	17	1	6	-2	-7	-2	-1	-1	-2	-4	-0	1	-6	-2	9	3	0	1	-5	-3	-1	1
6	8	1	17	-0	8	3	-9	-2	1	1	-0	1	-2	-1	-6	-0	10	1	-1	-2	-5	1	-3	-2
7	7	-0	16	-1	6	-2	-8	1	-3	-4	-1	-1	0	2	-9	-3	13	3	2	3	-7	-2	1	4
8	7	-0	18	2	10	4	-8	-0	-5	-2	-3	-2	-1	-1	-9	1	11	-3	3	1	-5	2	2	1
9	14	7	19	1	11	1	-7	1	-3	2	-1	1	-1	-0	-11	-2	8	-3	7	4	-3	2	-2	-4
10	15	1	20	1	11	-0	-3	4	-5	-2	-1	0	-2	-0	-14	-2	8	0	7	0	-6	-2	-0	2
11	19	4	20	-0	8	-3	-5	-2	-8	-3	2	2	-4	-2	-14	-0	6	-2	7	-1	-6	-0	-0	0
12	20	1	22	2	8	-0	-2	3	-5	2	3	1	-1	3	-14	1	5	-1	8	1	-8	-2	-0	0
13	20	-0	23	1	8	-0	1	3	-7	-2	5	2	-3	-2	-13	1	3	-2	10	2	-12	-4	-0	0
14	19	-0	24	1	6	-2	-1	-3	-5	2	4	-2	-6	-2	-14	-0	3	-1	12	2	-15	-3	-0	0
15	16	-3	23	-0	5	-1	-4	-3	-7	-2	1	-3	-6	-0	-13	1	5	2	10	-3	-18	-2	-2	-2
16	14	-2	21	-2	3	-2	-5	-1	-9	-2	5	3	-6	-0	-11	2	8	3	12	2	-21	-3	-2	0
17	15	1	21	-0	7	4	-8	-3	-6	2	5	0	-8	-2	-8	4	6	-2	12	0	-20	1	-3	-1
18	16	1	20	-1	6	-1	-8	0	-9	-3	7	2	-10	-2	-8	-0	3	-4	11	-2	-20	-0	-4	-1
19	13	-2	19	-1	8	2	-10	-2	-10	-1	9	1	-6	5	-11	-3	5	2	17	6	-21	-1	-4	-1
20	14	1	19	-0	6	-2	-12	-2	-10	0	6	-3	-9	-3	-10	2	3	-2	18	1	-22	-1	-1	3
21	14	-0	16	-3	5	-0	-11	0	-10	-1	7	0	-9	-0	-14	-4	0	-3	21	2	-22	0	-3	-2
22	12	-2	14	-2	4	-1	-12	-1	-12	-2	7	0	-10	-1	-16	-2	1	0	21	0	-19	3	0	3
23	9	-2	16	2	0	-4	-6	6	-7	5	12	4	-9	1	-17	-0	3	2	26	4	-17	2	-2	-2
24	10	1	17	1	1	1	-5	1	-5	1	9	-2	-7	2	-20	-3	1	-2	28	2	-14	3	-4	-3
