Jahr	Schiene Ausgang	Schiene Eingang	Strasse Ausgang	Strasse Eingang	Pipeline Eingang	Total Eingang	Total Ausgang
2007	10266928	16549175	3214875	3124646	4393165	24066986	13481803
2008	10595548	17035277	3250575	3128538	4112209	24276024	13846123
2009	9413118	14759973	3028413	2897373	3211597	20868943	12441531
2010	10465771	15584382	3455426	3087929	2316394	20988705	13921197
2011	11624047	15811409	3211924	2713411	3046603	21571423	14835971
2012	11540113	14734179	2842508	2353192	1862414	18949785	14382623
2013	12946838	16160138	2617927	2147810	622155	18930102	15564768
2014	13297398	16263522	2550360	2087055	1769525	20120102	15847758
2015	14561328	18664332	2307428	1960269	1900627	22525228	16868756
2016	14161516	18121077	2184931	1747475	510261	20378813	16346447
2017	13781296	16865292	2150476	1777024	1506172	20148488	15931772
