""	"Innenstadt"	"Stadt Basel"
"Primärer Sektor, verarbeit. Gewerbe"	0.0000000000	-0.0185185185
"Bau und Verkehr"	-0.2695035461	-0.0849673203
"Grosshandel"	-0.2333333333	-0.2673684211
"Detailhandel"	-0.0864197531	-0.1022408964
"Information, Kommunikation"	-0.0446428571	0.0341685649
"Gastronomie, Hotellerie"	-0.0100334448	-0.0125156446
"Finanzen, Versicherung, Immobilien"	-0.0955414013	-0.0601659751
"Unternehmens-DL, Freiberufe"	0.0338797814	0.0304182510
"Sonstige DL"	-0.0295081967	0.0433553252
"Öff. Verwaltung, Bildung"	0.0541666667	0.0662323561
"Gesundheits-, Sozialwesen"	0.0806697108	0.0462003454
"Kunst, Unterhaltung, Sport"	-0.0645161290	-0.0248447205
"Schönheitspflege, sonst. pers. DL"	0.0365853659	0.0292792793
"."		
"Total"	-0.0173321632	-0.0091120352

