Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2019: Total	252	651	221	65	568	101
2019: Schweiz	175	479	159	50	475	84
2019: Ausland	73	163	61	14	88	15
.						
2015: Total	156	643	205	28	351	0
2015: Schweiz	129	564	180	24	323	0
2015: Ausland	27	79	25	4	28	0
..						
2011: Total	259	660	256	36	254	5
2011: Schweiz	211	566	221	29	228	5
2011: Ausland	48	94	35	7	26	0
...						
2007: Total	95	632	311	59	364	0
2007: Schweiz	81	558	274	48	328	0
2007: Ausland	14	74	37	11	36	0
....						
2005: Total	66	498	508	108	295	0
2005: Schweiz	56	423	438	86	269	0
2005: Ausland	10	75	70	22	26	0
.....						
2003: Total	71	524	405	70	371	0
2003: Schweiz	54	438	355	60	333	0
2003: Ausland	17	86	50	10	38	0

