"Datum"	"Kurzarbeit, beantragt"	"Kurzarbeit, genehmigt"	"Kurzarbeit, abgerechnet"
"2006-01"	219	217	123
"2006-02"	228	221	164
"2006-03"	237	231	5
"2006-04"	59	53	6
"2006-05"	40	30	4
"2006-06"	31	21	3
"2006-07"	32	21	3
"2006-08"	25	13	10
"2006-09"	28	16	12
"2006-10"	21	13	12
"2006-11"	22	14	2
"2006-12"	11	4	2
"2007-01"	25	3	1
"2007-02"	19	3	1
"2007-03"	27	0	0
"2007-04"	6	0	0
"2007-05"	12	6	6
"2007-06"	8	6	6
"2007-07"	8	6	6
"2007-08"	2	2	1
"2007-09"	6	6	2
"2007-10"	5	5	2
"2007-11"	5	5	2
"2007-12"	12	6	7
"2008-01"	13	7	7
"2008-02"	15	9	6
"2008-03"	47	41	11
"2008-04"	37	37	3
"2008-05"	23	23	6
"2008-06"	24	24	35
"2008-07"	13	10	6
"2008-08"	9	6	2
"2008-09"	7	4	1
"2008-10"	7	4	1
"2008-11"	18	18	2
"2008-12"	62	59	24
"2009-01"	312	307	145
"2009-02"	445	439	244
"2009-03"	1033	1027	774
"2009-04"	1055	1027	382
"2009-05"	1189	1164	877
"2009-06"	1018	993	638
"2009-07"	1087	1061	677
"2009-08"	1075	1049	569
"2009-09"	1201	1174	733
"2009-10"	1677	1674	1148
"2009-11"	1549	1543	547
"2009-12"	1374	1369	494
"2010-01"	1297	1293	442
"2010-02"	1353	1340	457
"2010-03"	1360	1347	415
"2010-04"	1456	1445	738
"2010-05"	745	732	305
"2010-06"	1007	994	434
"2010-07"	881	830	360
"2010-08"	840	798	117
"2010-09"	717	675	118
"2010-10"	688	644	121
"2010-11"	704	662	86
"2010-12"	260	219	62
"2011-01"	249	249	78
"2011-02"	290	290	90
"2011-03"	265	263	104
"2011-04"	217	215	88
"2011-05"	158	156	80
"2011-06"	149	146	79
"2011-07"	112	109	57
"2011-08"	109	108	66
"2011-09"	271	270	189
"2011-10"	297	279	33
"2011-11"	328	310	56
"2011-12"	302	285	37
"2012-01"	116	112	247
"2012-02"	136	132	71
"2012-03"	193	189	75
"2012-04"	181	181	102
"2012-05"	314	288	68
"2012-06"	385	359	39
"2012-07"	327	327	23
"2012-08"	64	64	25
"2012-09"	31	31	22
"2012-10"	55	55	44
"2012-11"	116	116	52
"2012-12"	191	191	124
"2013-01"	227	227	124
"2013-02"	205	205	118
"2013-03"	203	203	58
"2013-04"	153	153	55
"2013-05"	144	144	57
"2013-06"	140	140	36
"2013-07"	121	121	32
"2013-08"	103	103	16
"2013-09"	13	13	10
"2013-10"	84	84	38
"2013-11"	96	96	58
"2013-12"	101	101	58
"2014-01"	112	112	74
"2014-02"	120	113	25
"2014-03"	113	106	16
"2014-04"	54	42	23
"2014-05"	34	29	16
"2014-06"	43	38	24
"2014-07"	29	29	17
"2014-08"	32	32	19
"2014-09"	26	26	13
"2014-10"	30	26	19
"2014-11"	26	21	9
"2014-12"	27	15	7
"2015-01"	26	15	8
"2015-02"	24	15	7
"2015-03"	19	14	11
"2015-04"	16	14	11
"2015-05"	16	16	13
"2015-06"	16	16	7
"2015-07"	34	34	8
"2015-08"	65	65	25
"2015-09"	65	65	13
"2015-10"	37	37	8
"2015-11"	18	18	10
"2015-12"	15	15	10
"2016-01"	24	24	10
"2016-02"	22	22	12
"2016-03"	24	24	12
"2016-04"	32	32	19
"2016-05"	42	42	29
"2016-06"	42	42	28
