	2019	2020	2021
0-1h	0.1435701265	0.1087213427	0.1317020304
1-2h	0.1400662138	0.1057377987	0.1307880246
2-3h	0.1300440976	0.1060120420	0.1304278689
3-4h	0.1327029698	0.1104347355	0.1347515628
4-5h	0.1413182759	0.1544472334	0.1884957477
5-6h	0.2013969856	0.2505702220	0.3014135369
6-7h	0.3226350851	0.3931371919	0.4406319481
7-8h	0.4708548922	0.5165293620	0.5587121560
8-9h	0.5957688991	0.6039867937	0.6366221276
9-10h	0.6744409542	0.6491510993	0.6682519238
10-11h	0.7083788104	0.6576408435	0.6806744903
11-12h	0.7235735418	0.6589740516	0.6758393071
12-13h	0.7346359539	0.6655192014	0.7003701704
13-14h	0.7433967599	0.6520159022	0.6712097937
14-15h	0.7088186630	0.5821753223	0.5978962457
15-16h	0.6162685294	0.4705074198	0.4613634812
16-17h	0.5135187831	0.3696919983	0.3725600539
17-18h	0.4603187085	0.3083575570	0.3272917594
18-19h	0.4360466625	0.2705759870	0.2852219006
19-20h	0.3994900854	0.2373442976	0.2543918616
20-21h	0.3387585061	0.2070168178	0.2118249524
21-22h	0.2773917668	0.1744765784	0.1800060768
22-23h	0.2140024814	0.1379339800	0.1521868494
23-24h	0.1775358429	0.1220086647	0.1396001235
