Jahr	0 bis 17	18 bis 25	26 bis 35	36 bis 50	51 bis 65	66 u.m.	Total
2006	15	11.8	9.6	9.2	4.9	0.3	7.9
2007	14.2	10.3	8.6	8.5	4.8	0.2	7.3
2008	13.6	8.8	7.6	8.1	4.9	0.2	6.8
2009	13.2	8.5	7.3	8	4.8	0.2	6.6
2010	12.5	9.2	7	7.8	4.9	0.2	6.6
2011	13.1	10	7.3	8.3	5.3	0.3	6.9
2012	13	10.4	7.6	8.3	5.5	0.2	7.1
2013	13.5	10.3	7.7	8.2	5.5	0.2	7.1
2014	13.6	10	7.3	8.2	5.7	0.2	7.1
2015	13.3	9.8	7.1	8.3	6.1	0.2	7.1
2016	13.54255899	10.18071544	7.498526355	8.395976707	6.355259946	0.22621551	7.309604295
2017	13.79243753	10.24962179	7.457627119	8.614044351	6.474190726	0.217746326	7.420336505
