""	"Bestand Grenzgänger Sonstige wirtsch. DL"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	1070	17
"2010-02"	1156	0
"2010-03"	1168	1
"2010-04"	1115	14
"2011-01"	1111	27
"2011-02"	1221	8
"2011-03"	1202	2
"2011-04"	1279	2
"2012-01"	1294	46
"2012-02"	1348	13
"2012-03"	1478	2
"2012-04"	1481	8
"2013-01"	1524	10
"2013-02"	1607	35
"2013-03"	1613	3
"2013-04"	1659	3
"2014-01"	1652	93
"2014-02"	1716	21
"2014-03"	1803	5
"2014-04"	1797	29
"2015-01"	1753	106
"2015-02"	1878	8
"2015-03"	1990	6
"2015-04"	2035	13
"2016-01"	1958	83
"2016-02"	2039	12
"2016-03"	2063	3
"2016-04"	2099	8
"2017-01"	2063	86
"2017-02"	2148	9
"2017-03"	2358	2
"2017-04"	2282	8
"2018-01"	2309	30
"2018-02"	2331	9
"2018-03"	2338	12
"2018-04"	2401	21
"2019-01"	2410	24
"2019-02"	2424	11
"2019-03"	2413	10
"2019-04"	2569	5

