"Datum"	"Total"	"15-24 Jahre"	"50 Jahre u.m."
"2020-08"	0.040062	0.047329	0.031522
"2020-09"	0.039202	0.042316	0.031392
"2020-10"	0.039173	0.039984	0.031425
"2020-11"	0.039801	0.039402	0.033822
"2020-12"	0.042635	0.040801	0.036187
"2021-01"	0.043622	0.039285	0.036738
"2021-02"	0.043235	0.040218	0.036252
"2021-03"	0.042819	0.041383	0.036932
"2021-04"	0.040981	0.035205	0.036608
"2021-05"	0.039163	0.031941	0.036608
"2021-06"	0.038051	0.033107	0.035863
"2021-07"	0.036919	0.038469	0.034470
"2021-08"	0.035874	0.033223	0.033012

