""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger Heime"	"Bestand Grenzgänger Sozialwesen"	"Best. Meldepflichtige in VZÄ Gesundh.-, Veterinärwesen, Heime, Kinderkrippen"
"2011-01"	2	802	331	60
"2011-02"	7	852	330	56
"2011-03"	11	823	300	105
"2011-04"	8	777	344	59
"2012-01"	7	820	343	77
"2012-02"	15	817	340	46
"2012-03"	6	845	390	75
"2012-04"	8	865	344	53
"2013-01"	14	815	375	91
"2013-02"	8	847	350	54
"2013-03"	8	906	364	79
"2013-04"	2	922	384	55
"2014-01"	4	968	359	65
"2014-02"	7	921	408	59
"2014-03"	6	972	396	103
"2014-04"	8	988	400	52
"2015-01"	7	954	397	92
"2015-02"	9	987	409	66
"2015-03"	11	1015	379	101
"2015-04"	4	1006	405	55
"2016-01"	10	971	426	76
"2016-02"	2	1060	411	62
"2016-03"	8	1025	430	112
"2016-04"	14	1037	420	66
"2017-01"	9	1082	413	68
"2017-02"	5	1042	456	56
"2017-03"	4	1098	422	116
"2017-04"	10	1047	441	77
"2018-01"	4	1131	401	84
"2018-02"	3	1081	427	62
"2018-03"	9	1123	441	119
"2018-04"	5	1084	426	75
"2019-01"	5	1045	441	90
"2019-02"	8	1042	459	66
"2019-03"	13	1034	420	111
"2019-04"	10	1000	388	73
"2020-01"	5	1009	419	94
"2020-02"	4	1005	441	115
"2020-03"	6	1044	405	127
"2020-04"	5	984	423	109

